,mu,N_p,N_t,sigma_b,seeds,sc_p,sc_stat,pbt_low_hdi95,pbt_high_hdi95,pbt_MAP,Test,Power
1,0,10,20,0.2,5000.5,0.41206253,0.5277145,0.001501891,0.308786421,0.045778947,SC,0.11
2,0,10,100,0.2,5000.5,0.20776196,0.6074623,0.015590338,0.408751908,0.127947368,SC,0.35
3,0,10,500,0.2,5000.5,0.03050874,0.75364036,0.148382578,0.672856936,0.393363158,SC,0.86
4,0,30,20,0.2,5000.5,0.35207003,0.526875907,0.001217149,0.16162436,0.030726316,SC,0.15
5,0,30,100,0.2,5000.5,0.08043153,0.60774638,0.027086277,0.277331127,0.120603509,SC,0.66
6,0,30,500,0.2,5000.5,0.00063603,0.752901813,0.226126901,0.572787058,0.393129825,SC,1
7,0,50,20,0.2,5000.5,0.3131703,0.526904876,0.001403449,0.121119199,0.026746316,SC,0.19
8,0,50,100,0.2,5000.5,0.03542031,0.60731162,0.036652478,0.238856301,0.119329474,SC,0.83
9,0,50,500,0.2,5000.5,1.51E-05,0.753234944,0.258904094,0.535057854,0.393056842,SC,1
10,0.1,10,20,0.2,5000.5,0.39332327,0.53366962,0.001860205,0.313881405,0.049463158,SC,0.13
11,0.1,10,100,0.2,5000.5,0.17296046,0.62491914,0.023106779,0.436508899,0.152994737,SC,0.42
12,0.1,10,500,0.2,5000.5,0.02007872,0.774932,0.181393814,0.712948671,0.439973684,SC,0.9
13,0.1,30,20,0.2,5000.5,0.31911149,0.533253833,0.001650652,0.167658619,0.035033333,SC,0.18
14,0.1,30,100,0.2,5000.5,0.05036359,0.625648087,0.040584056,0.309111875,0.146933333,SC,0.77
15,0.1,30,500,0.2,5000.5,0.00017717,0.77527056,0.268942071,0.619061925,0.441473684,SC,1
16,0.1,50,20,0.2,5000.5,0.27547166,0.533046472,0.001945331,0.126915277,0.030889474,SC,0.24
17,0.1,50,100,0.2,5000.5,0.01831143,0.625259508,0.054831356,0.271994903,0.147046316,SC,0.91
18,0.1,50,500,0.2,5000.5,3.24E-06,0.775838112,0.304454238,0.583382275,0.442395789,SC,1
19,0,10,20,0.2,5000.5,0.41206253,0.5277145,0.001501891,0.308786421,0.045778947,PBT,0.03
20,0,10,100,0.2,5000.5,0.20776196,0.6074623,0.015590338,0.408751908,0.127947368,PBT,0.22
21,0,10,500,0.2,5000.5,0.03050874,0.75364036,0.148382578,0.672856936,0.393363158,PBT,0.87
22,0,30,20,0.2,5000.5,0.35207003,0.526875907,0.001217149,0.16162436,0.030726316,PBT,0.05
23,0,30,100,0.2,5000.5,0.08043153,0.60774638,0.027086277,0.277331127,0.120603509,PBT,0.56
24,0,30,500,0.2,5000.5,0.00063603,0.752901813,0.226126901,0.572787058,0.393129825,PBT,1
25,0,50,20,0.2,5000.5,0.3131703,0.526904876,0.001403449,0.121119199,0.026746316,PBT,0.13
26,0,50,100,0.2,5000.5,0.03542031,0.60731162,0.036652478,0.238856301,0.119329474,PBT,0.85
27,0,50,500,0.2,5000.5,1.51E-05,0.753234944,0.258904094,0.535057854,0.393056842,PBT,1
28,0.1,10,20,0.2,5000.5,0.39332327,0.53366962,0.001860205,0.313881405,0.049463158,PBT,0.03
29,0.1,10,100,0.2,5000.5,0.17296046,0.62491914,0.023106779,0.436508899,0.152994737,PBT,0.29
30,0.1,10,500,0.2,5000.5,0.02007872,0.774932,0.181393814,0.712948671,0.439973684,PBT,0.92
31,0.1,30,20,0.2,5000.5,0.31911149,0.533253833,0.001650652,0.167658619,0.035033333,PBT,0.07
32,0.1,30,100,0.2,5000.5,0.05036359,0.625648087,0.040584056,0.309111875,0.146933333,PBT,0.7
33,0.1,30,500,0.2,5000.5,0.00017717,0.77527056,0.268942071,0.619061925,0.441473684,PBT,1
34,0.1,50,20,0.2,5000.5,0.27547166,0.533046472,0.001945331,0.126915277,0.030889474,PBT,0.16
35,0.1,50,100,0.2,5000.5,0.01831143,0.625259508,0.054831356,0.271994903,0.147046316,PBT,0.93
36,0.1,50,500,0.2,5000.5,3.24E-06,0.775838112,0.304454238,0.583382275,0.442395789,PBT,1
