"","mu","N_p","N_t","sigma_b","sigma_w","seeds","SC_p","SC_statistic","GNT_p","GNT_ci_low","GNT_ci_high","Test","Power"
"1",0,10,50,1.5,10,500.5,0.389527247275272,0.5372432,0.597447742982696,0.0119401552536983,1,"SC",0.123
"2",0,10,100,1.5,10,500.5,0.287108489151085,0.573215,0.466384221929659,0.0198594874949626,1,"SC",0.233
"3",0,10,500,1.5,10,500.5,0.0715204479552045,0.6984792,0.090136901519399,0.106241073549038,1,"SC",0.714
"4",0,30,50,1.5,10,500.5,0.308102289771023,0.536822266666667,0.408662949591561,0.0234188813732648,1,"SC",0.193
"5",0,30,100,1.5,10,500.5,0.183353064693531,0.568462533333333,0.253917327329377,0.0388868088380711,1,"SC",0.38
"6",0,30,500,1.5,10,500.5,0.00632506749325067,0.696971,0.00292411358468616,0.180207708378276,1,"SC",0.972
"7",0,50,50,1.5,10,500.5,0.247158084191581,0.53912556,0.322373755147433,0.031992056053974,1,"SC",0.268
"8",0,50,100,1.5,10,500.5,0.115352164783522,0.5683964,0.153829728271926,0.051615767167525,1,"SC",0.521
"9",0,50,500,1.5,10,500.5,0.000369163083691631,0.69881864,0.000106400030812645,0.209850992970577,1,"SC",1
"10",1,10,50,1.5,10,500.5,0.346766623337666,0.5515936,0.533054924642863,0.0147793991997597,1,"SC",0.17
"11",1,10,100,1.5,10,500.5,0.230325067493251,0.5955882,0.378499850304522,0.0292574544173236,1,"SC",0.298
"12",1,10,500,1.5,10,500.5,0.0457534246575342,0.7328706,0.0412386262737867,0.152840423586454,1,"SC",0.803
"13",1,30,50,1.5,10,500.5,0.245843715628437,0.550916866666667,0.331588139391826,0.0294506991264572,1,"SC",0.276
"14",1,30,100,1.5,10,500.5,0.108380061993801,0.5925796,0.156018020203158,0.0549752305504322,1,"SC",0.546
"15",1,30,500,1.5,10,500.5,0.00114358564143586,0.7345478,0.00059559768295236,0.239582251157422,1,"SC",0.996
"16",1,50,50,1.5,10,500.5,0.173975902409759,0.55388048,0.241337077597363,0.0401989515692656,1,"SC",0.371
"17",1,50,100,1.5,10,500.5,0.0597883211678832,0.5916972,0.0779472267018312,0.0706183972860424,1,"SC",0.731
"18",1,50,500,1.5,10,500.5,0.000177082291770823,0.73648644,1.39117010944135e-06,0.273817839058682,1,"SC",1
"19",0,10,50,1.5,10,500.5,0.389527247275272,0.5372432,0.597447742982696,0.0119401552536983,1,"GNT",0.049
"20",0,10,100,1.5,10,500.5,0.287108489151085,0.573215,0.466384221929659,0.0198594874949626,1,"GNT",0.097
"21",0,10,500,1.5,10,500.5,0.0715204479552045,0.6984792,0.090136901519399,0.106241073549038,1,"GNT",0.655
"22",0,30,50,1.5,10,500.5,0.308102289771023,0.536822266666667,0.408662949591561,0.0234188813732648,1,"GNT",0.088
"23",0,30,100,1.5,10,500.5,0.183353064693531,0.568462533333333,0.253917327329377,0.0388868088380711,1,"GNT",0.245
"24",0,30,500,1.5,10,500.5,0.00632506749325067,0.696971,0.00292411358468616,0.180207708378276,1,"GNT",0.977
"25",0,50,50,1.5,10,500.5,0.247158084191581,0.53912556,0.322373755147433,0.031992056053974,1,"GNT",0.231
"26",0,50,100,1.5,10,500.5,0.115352164783522,0.5683964,0.153829728271926,0.051615767167525,1,"GNT",0.526
"27",0,50,500,1.5,10,500.5,0.000369163083691631,0.69881864,0.000106400030812645,0.209850992970577,1,"GNT",1
"28",1,10,50,1.5,10,500.5,0.346766623337666,0.5515936,0.533054924642863,0.0147793991997597,1,"GNT",0.059
"29",1,10,100,1.5,10,500.5,0.230325067493251,0.5955882,0.378499850304522,0.0292574544173236,1,"GNT",0.152
"30",1,10,500,1.5,10,500.5,0.0457534246575342,0.7328706,0.0412386262737867,0.152840423586454,1,"GNT",0.799
"31",1,30,50,1.5,10,500.5,0.245843715628437,0.550916866666667,0.331588139391826,0.0294506991264572,1,"GNT",0.138
"32",1,30,100,1.5,10,500.5,0.108380061993801,0.5925796,0.156018020203158,0.0549752305504322,1,"GNT",0.407
"33",1,30,500,1.5,10,500.5,0.00114358564143586,0.7345478,0.00059559768295236,0.239582251157422,1,"GNT",0.997
"34",1,50,50,1.5,10,500.5,0.173975902409759,0.55388048,0.241337077597363,0.0401989515692656,1,"GNT",0.357
"35",1,50,100,1.5,10,500.5,0.0597883211678832,0.5916972,0.0779472267018312,0.0706183972860424,1,"GNT",0.718
"36",1,50,500,1.5,10,500.5,0.000177082291770823,0.73648644,1.39117010944135e-06,0.273817839058682,1,"GNT",1
