"","exp","quid.low","quid.high","pbt.low","pbt.high"
"1","Benthien & Hesselmann_2021",-1,-1,-1,-1
"2","Biderman & Mudrik_2018_1",0,0,0,0.0661941387363435
"3","Biderman & Mudrik_2018_2",0.0120231166454115,0.0120231166454115,0,0.0843474548352331
"4","Biderman & Mudrik_2018_3",0.0069972021354398,0.0069972021354398,0,0.0843474548352331
"5","Faivre et al._2014_1_cong",1.24565017826986,1.24565017826986,0,0.163748969049626
"6","Faivre et al._2014_1_incong",0.0730588820230903,0.0730588820230903,0,0.290245568533308
"7","Faivre et al._2014_2_cong",0.0246798313919776,0.0246798313919776,0,0.130599271784092
"8","Faivre et al._2014_2_incong",1.13587304696462,1.13587304696462,0,0.130599271784092
"9","Faivre et al._2014_3_cong",0.634272579337527,0.634272579337527,0,0.13611233629741
"10","Faivre et al._2014_3_incong",0.00188665459179005,0.00188665459179005,0,0.182874398605618
"11","Faivre et al._2014_4_cong",0.000635688357117222,0.000635688357117222,0,0.279572598318737
"12","Faivre et al._2014_4_incong",0.0224695445638881,0.0224695445638881,0,0.174794207260831
"13","Hurme et al_2020_Masking_Blue",0,0,0,0.426202489729668
"14","Hurme et al_2020_Masking_Red",0.00609839998404042,0.00609839998404042,0,0.23527550866827
"15","Hurme et al_2020_TMS_Blue",0.971094394034994,0.971094394034994,0,0.355882194780198
"16","Hurme et al_2020_TMS_Red",0.478540762319489,0.478540762319489,0,0.460219383796038
"17","Noel et al_2020_A",0.0793285116431197,0.0793285116431197,0,0.218376202735734
"18","Noel et al_2020_AV",0.0229409455798514,0.0229409455798514,0.122777591840969,0.483064699143522
"19","Noel et al_2020_V",0.852963909322701,0.852963909322701,0,0.261404332647783
"20","Skora et al_2020_1",-1,-1,-1,-1
"21","Skora et al_2020_2",-1,-1,-1,-1
"22","Stein & van Peelen_2020_3_1",-1,-1,-1,-1
"23","Stein & van Peelen_2020_3_2",-1,-1,-1,-1
"24","Stein & van Peelen_2020_4b_1",-1,-1,-1,-1
"25","Zerweck et al_2021_2_20",0.0643677735236857,0.0643677735236857,0,0.191680369225914
"26","Zerweck et al_2021_2_29",0.426592133044007,0.426592133044007,0,0.142110350313168
"27","Zerweck et al_2021_2_39",0.183183945817685,0.183183945817685,0,0.2482671425506
"28","Zerweck et al_2021_3_Duration_10",0.0511152646194804,0.0511152646194804,0,0.205402595298148
"29","Zerweck et al_2021_3_Duration_20",0.00110197628764797,0.00110197628764797,0,0.328917353561452
"30","Zerweck et al_2021_3_Duration_30",0.0270314260521313,0.0270314260521313,0,0.219332403706783
"31","Zerweck et al_2021_3_Duration_40",2.04630599180846,2.04630599180846,0.0890365498133976,0.563007565013871
